vid,birth,death,parentid,level,bindingAvidIni,bindingAvid,infection_no,distance_to_parent,distance_to_root, immK
7453,-10,-9,0,0,0.8,0.8,0,0,0,0
7454,-10,-6,0,0,0.8,0.8,0,0.00363711,0.00363711,0
7455,-10,-8,0,0,0.8,0.8,0,0,0,0
7456,-10,-10,0,0,0.8,0.8,0,0,0,0
7457,-10,-8,0,0,0.8,0.8,0,0,0,0
7458,-10,-10,0,0,0.8,0.8,0,0,0,0
7459,-10,-7,0,0,0.8,0.8,0,0,0,0
7460,-10,-9,0,0,0.8,0.8,0,0,0,0
7461,-10,-6,0,0,0.8,0.8,0,0,0,0
7462,-10,-10,0,0,0.8,0.8,0,0,0,0
7463,-10,-9,0,0,0.8,0.8,0,0,0,0
7464,-10,-3,0,0,0.8,0.8,0,0,0,0
7465,-10,-7,0,0,0.8,0.8,0,0,0,0
7466,-10,-10,0,0,0.8,0.8,0,0,0,0
7467,-10,-3,0,0,0.8,0.8,0,0,0,0
7468,-10,-9,0,0,0.8,0.8,0,0,0,0
7469,-10,-7,0,0,0.8,0.8,0,0.0256097,0.0256097,0
7470,-10,-7,0,0,0.8,0.8,0,0,0,0
7471,-10,-10,0,0,0.8,0.8,0,0,0,0
7472,-10,-10,0,0,0.8,0.8,0,0,0,0
7473,-10,-7,0,0,0.8,0.8,0,0.0181779,0.0181779,0
7474,-10,-10,0,0,0.8,0.8,0,0,0,0
7475,-10,-10,0,0,0.8,0.8,0,0,0,0
7476,-10,-6,0,0,0.8,0.8,0,0,0,0
7477,-10,-7,0,0,0.8,0.8,0,0.00880223,0.00880223,0
7478,-10,-8,0,0,0.8,0.8,0,0.0240072,0.0240072,0
7479,-10,-7,0,0,0.8,0.8,0,0,0,0
7480,-10,-9,0,0,0.8,0.8,0,0,0,0
7481,-10,-9,0,0,0.8,0.8,0,0,0,0
7482,-10,-8,0,0,0.8,0.8,0,0,0,0
7483,-10,-9,0,0,0.8,0.8,0,0,0,0
7484,-10,-10,0,0,0.8,0.8,0,0,0,0
7485,-10,-10,0,0,0.8,0.8,0,0,0,0
7486,-10,-8,0,0,0.8,0.8,0,0,0,0
7487,-10,-10,0,0,0.8,0.8,0,0,0,0
7488,-10,-5,0,0,0.8,0.8,0,0.00938312,0.00938312,0
7489,-10,-8,0,0,0.8,0.8,0,0,0,0
7490,-10,-4,0,0,0.8,0.8,0,0,0,0
7491,-10,-6,0,0,0.8,0.8,0,0,0,0
7492,-10,-10,0,0,0.8,0.8,0,0,0,0
7493,-10,-9,0,0,0.8,0.8,0,0,0,0
7494,-10,-8,0,0,0.8,0.8,0,0,0,0
7495,-10,-10,0,0,0.8,0.8,0,0,0,0
7496,-10,-10,0,0,0.8,0.8,0,0,0,0
7497,-10,-10,0,0,0.8,0.8,0,0,0,0
7498,-10,-7,0,0,0.8,0.8,0,0,0,0
7499,-10,-8,0,0,0.8,0.8,0,0,0,0
7500,-10,-9,0,0,0.8,0.8,0,0,0,0
7501,-10,-7,0,0,0.8,0.8,0,0,0,0
7502,-10,-8,0,0,0.8,0.8,0,0,0,0
7503,-10,-10,0,0,0.8,0.8,0,0,0,0
7504,-10,-6,0,0,0.8,0.8,0,0,0,0
7505,-10,-10,0,0,0.8,0.8,0,0,0,0
7506,-10,-10,0,0,0.8,0.8,0,0,0,0
7507,-10,-9,0,0,0.8,0.8,0,0,0,0
7508,-10,-6,0,0,0.8,0.8,0,0,0,0
7509,-10,-9,0,0,0.8,0.8,0,0,0,0
7510,-10,-8,0,0,0.8,0.8,0,0,0,0
7511,-10,-8,0,0,0.8,0.8,0,0,0,0
7512,-10,-9,0,0,0.8,0.8,0,0,0,0
7513,-10,-10,0,0,0.8,0.8,0,0,0,0
7514,-10,-10,0,0,0.8,0.8,0,0,0,0
7515,-10,-10,0,0,0.8,0.8,0,0,0,0
7516,-10,-8,0,0,0.8,0.8,0,0,0,0
7517,-10,-9,0,0,0.8,0.8,0,0,0,0
7518,-10,-4,0,0,0.8,0.8,0,0,0,0
7519,-10,-10,0,0,0.8,0.8,0,0,0,0
7520,-10,-10,0,0,0.8,0.8,0,0,0,0
7521,-10,-6,0,0,0.8,0.8,0,0,0,0
7522,-10,-10,0,0,0.8,0.8,0,0,0,0
7523,-10,-7,0,0,0.8,0.8,0,0,0,0
7524,-10,-9,0,0,0.8,0.8,0,0,0,0
7525,-10,-5,0,0,0.8,0.8,0,0.0331792,0.0331792,0
7526,-10,-9,0,0,0.8,0.8,0,0,0,0
7527,-10,-9,0,0,0.8,0.8,0,0,0,0
7528,-10,-8,0,0,0.8,0.8,0,0.00125422,0.00125422,0
7529,-10,-7,0,0,0.8,0.8,0,0,0,0
7530,-10,-10,0,0,0.8,0.8,0,0,0,0
7531,-10,-10,0,0,0.8,0.8,0,0,0,0
7532,-10,-10,0,0,0.8,0.8,0,0,0,0
7533,-10,-8,0,0,0.8,0.8,0,0,0,0
7534,-10,-10,0,0,0.8,0.8,0,0,0,0
7535,-10,-9,0,0,0.8,0.8,0,0,0,0
7536,-10,-10,0,0,0.8,0.8,0,0,0,0
7537,-10,-10,0,0,0.8,0.8,0,0,0,0
7538,-10,-7,0,0,0.8,0.8,0,0,0,0
7539,-10,-10,0,0,0.8,0.8,0,0,0,0
7540,-10,-5,0,0,0.8,0.8,0,0.0189139,0.0189139,0
7541,-10,-5,0,0,0.8,0.8,0,0.0153013,0.0153013,0
7542,-10,-6,0,0,0.8,0.8,0,0.044466,0.044466,0
7543,-10,-8,0,0,0.8,0.8,0,0,0,0
7544,-10,-10,0,0,0.8,0.8,0,0,0,0
7545,-10,-10,0,0,0.8,0.8,0,0,0,0
7546,-10,-9,0,0,0.8,0.8,0,0,0,0
7547,-10,-10,0,0,0.8,0.8,0,0,0,0
7548,-10,-10,0,0,0.8,0.8,0,0,0,0
7549,-10,-8,0,0,0.8,0.8,0,0,0,0
7550,-10,-7,0,0,0.8,0.8,0,0,0,0
7551,-10,-4,0,0,0.8,0.8,0,0,0,0
7552,-10,-9,0,0,0.8,0.8,0,0,0,0
7553,-10,-8,7498,1,0.8,0.8,0,0,0,0
7554,-10,-9,7490,1,0.8,0.8,0,0.00438742,0.00438742,0
7555,-10,-9,7484,1,0.8,0.8,0,0,0,0
7556,-10,-9,7466,1,0.8,0.8,0,0,0,0
7557,-10,-9,7497,1,0.8,0.8,0,0,0,0
7558,-10,-8,7551,1,0.8,0.8,0,0,0,0
7559,-10,-4,7543,1,0.8,0.8,0,0,0,0
7560,-10,-9,7479,1,0.8,0.8,0,0,0,0
7561,-10,-9,7531,1,0.8,0.8,0,0,0,0
7562,-10,-8,7455,1,0.8,0.8,0,0,0,0
7563,-10,-9,7522,1,0.8,0.8,0,0,0,0
7564,-10,-9,7460,1,0.8,0.8,0,0,0,0
7565,-10,-6,7473,1,0.8,0.8,0,0,0,0
7566,-10,-7,7486,1,0.8,0.8,0,0.0806443,0.0806443,0
7567,-10,-3,7549,1,0.8,0.8,0,0.0389158,0.0389158,0
7568,-10,-8,7506,1,0.8,0.8,0,0,0,0
7569,-10,-9,7511,1,0.8,0.8,0,0,0,0
7570,-10,-8,7528,1,0.8,0.8,0,0,0,0
7571,-10,-6,7480,1,0.8,0.8,0,0,0,0
7572,-10,-3,7495,1,0.8,0.8,0,0.0220718,0.0220718,0
7573,-10,-8,7477,1,0.8,0.8,0,0,0,0
7574,-10,-7,7491,1,0.8,0.8,0,0,0,0
7575,-10,-9,7477,1,0.8,0.8,0,0,0,0
7576,-10,-8,7541,1,0.8,0.8,0,0,0,0
7577,-10,-9,7471,1,0.8,0.8,0,0,0,0
7578,-10,-7,7544,1,0.8,0.8,0,0.00586638,0.00586638,0
7579,-10,-9,7535,1,0.8,0.8,0,0,0,0
7580,-10,-9,7503,1,0.8,0.8,0,0,0,0
7581,-10,-6,7538,1,0.8,0.8,0,0,0,0
7582,-10,-9,7531,1,0.8,0.8,0,0,0,0
7583,-10,-9,7483,1,0.8,0.8,0,0,0,0
7584,-10,-7,7508,1,0.8,0.8,0,0,0,0
7585,-10,-8,7521,1,0.8,0.8,0,0,0,0
7586,-10,-9,7467,1,0.8,0.8,0,0,0,0
7587,-10,-4,7548,1,0.8,0.8,0,0,0,0
7588,-10,-7,7533,1,0.8,0.8,0,0,0,0
7589,-10,-8,7542,1,0.8,0.8,0,0,0,0
7590,-10,-8,7485,1,0.8,0.8,0,0,0,0
7591,-10,-7,7462,1,0.8,0.8,0,0,0,0
7592,-10,-11,7503,1,0.8,0.8,0,0.00867905,0.00867905,0
7593,-10,-7,7549,1,0.8,0.8,0,0.013381,0.013381,0
7594,-10,-8,7507,1,0.8,0.8,0,0.0209324,0.0209324,0
7595,-10,-5,7520,1,0.8,0.8,0,0,0,0
7596,-10,-8,7516,1,0.8,0.8,0,0.0129876,0.0129876,0
7597,-10,-6,7523,1,0.8,0.8,0,0.0995158,0.0995158,0
7598,-10,-9,7523,1,0.8,0.8,0,0,0,0
7599,-10,-9,7484,1,0.8,0.8,0,0,0,0
7600,-10,-8,7517,1,0.8,0.8,0,0.00261846,0.00261846,0
7601,-10,-3,7502,1,0.8,0.8,0,0.0112789,0.0112789,0
7602,-10,-4,7458,1,0.8,0.8,0,0.0230278,0.0230278,0
7603,-10,-8,7542,1,0.8,0.8,0,0,0,0
7604,-10,-8,7478,1,0.8,0.8,0,0,0,0
7605,-10,-9,7544,1,0.8,0.8,0,0,0,0
7606,-10,-9,7492,1,0.8,0.8,0,0,0,0
7607,-10,-8,7520,1,0.8,0.8,0,0,0,0
7608,-10,-9,7496,1,0.8,0.8,0,0,0,0
7609,-10,-3,7500,1,0.8,0.8,0,0.0214159,0.0214159,0
7610,-10,-7,7506,1,0.8,0.8,0,0.00951169,0.00951169,0
7611,-10,-8,7503,1,0.8,0.8,0,0.00413827,0.00413827,0
7612,-10,-5,7542,1,0.8,0.8,0,0,0,0
7613,-10,-9,7484,1,0.8,0.8,0,0,0,0
7614,-10,-8,7546,1,0.8,0.8,0,0,0,0
7615,-10,-8,7454,1,0.8,0.8,0,0,0,0
7616,-9,-7,7556,2,0.8,0.8,0,0,0,0
7617,-9,-11,7588,2,0.8,0.8,0,0.00186007,0.00186007,0
7618,-9,-6,7479,1,0.8,0.8,0,0,0,0
7619,-9,-6,7615,2,0.8,0.8,0,0.0817574,0.0817574,0
7620,-9,-8,7595,2,0.8,0.8,0,0,0,0
7621,-9,-8,7608,2,0.8,0.8,0,0,0,0
7622,-9,-7,7613,2,0.8,0.8,0,0.0443183,0.0443183,0
7623,-9,-8,7612,2,0.8,0.8,0,0,0,0
7624,-9,-7,7574,2,0.8,0.8,0,0,0,0
7625,-9,-2,7592,2,0.8,0.8,0,0.036034,0.036034,0
7626,-9,-8,7559,2,0.8,0.8,0,0,0,0
7627,-9,-8,7480,1,0.8,0.8,0,0.0308312,0.0308312,0
7628,-9,-8,7572,2,0.8,0.8,0,0,0,0
