runName,names,values
single_adaptive_low,p,4
single_adaptive_low,r,70
single_adaptive_low,q,1
single_adaptive_low,a,0.7
single_adaptive_low,b,3
single_adaptive_low,n,4
single_adaptive_low,v,1
single_adaptive_low,probMut,0
single_adaptive_low,expDist,1.3
single_adaptive_low,kc,0.2
single_adaptive_low,VtoD,0
single_adaptive_low,s0,499900
single_adaptive_low,i0,100
single_adaptive_low,r0,0
single_adaptive_low,c,0.7
single_adaptive_low,mu,3.91E-05
single_adaptive_low,w,0.04
single_adaptive_low,g,0.303030303
single_adaptive_low,iniBind,0.45
single_adaptive_low,meanBoost,8
single_adaptive_low,iniDist,3
single_adaptive_low,saveFreq,5
single_adaptive_low,maxTitre,25
