runName,names,values
single_adaptive_high_custom1,p,4
single_adaptive_high_custom1,r,70
single_adaptive_high_custom1,q,1
single_adaptive_high_custom1,a,0.7
single_adaptive_high_custom1,b,3
single_adaptive_high_custom1,n,4
single_adaptive_high_custom1,v,3
single_adaptive_high_custom1,probMut,0
single_adaptive_high_custom1,expDist,1.3
single_adaptive_high_custom1,kc,0.3
single_adaptive_high_custom1,VtoD,0
single_adaptive_high_custom1,s0,499900
single_adaptive_high_custom1,i0,100
single_adaptive_high_custom1,r0,0
single_adaptive_high_custom1,c,0.45
single_adaptive_high_custom1,mu,3.91E-05
single_adaptive_high_custom1,w,0.04
single_adaptive_high_custom1,g,0.303030303
single_adaptive_high_custom1,iniBind,0.7
single_adaptive_high_custom1,meanBoost,8
single_adaptive_high_custom1,iniDist,3
single_adaptive_high_custom1,saveFreq,5
single_adaptive_high_custom1,maxTitre,40
